               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.034817,              0.0288,           0.0021001,             0.76806,             0.63944,              0.6868,             0.37998,            0.036695,            0.024372,           0.0035804,            0.003796,            0.003796,            0.003796
                  96,            0.034754,            0.029299,           0.0021025,             0.78386,             0.63998,             0.69098,              0.3809,            0.036667,            0.024388,           0.0035203,             0.00373,             0.00373,             0.00373
                  97,            0.034725,            0.028983,           0.0020574,              0.7569,             0.63737,              0.6884,             0.38032,            0.036692,            0.024458,           0.0035922,            0.003664,            0.003664,            0.003664
                  98,            0.034738,            0.028654,           0.0020401,             0.76284,             0.63856,             0.68822,             0.38114,            0.036615,            0.024501,           0.0035972,            0.003598,            0.003598,            0.003598
                  99,            0.034472,            0.028565,           0.0020764,             0.77687,              0.6342,             0.69039,             0.38274,              0.0366,             0.02453,           0.0036032,            0.003532,            0.003532,            0.003532
                 100,            0.034543,            0.028296,           0.0020489,             0.78415,             0.63528,             0.68946,             0.38253,            0.036604,            0.024498,           0.0035897,            0.003466,            0.003466,            0.003466
                 101,             0.03443,            0.028038,           0.0021017,             0.76694,             0.64333,             0.69389,             0.38314,            0.036559,            0.024543,           0.0035583,              0.0034,              0.0034,              0.0034
                 102,            0.034505,            0.028547,           0.0020111,             0.78344,             0.63819,             0.69417,             0.38573,            0.036618,            0.024575,           0.0035849,            0.003334,            0.003334,            0.003334
                 103,            0.034563,            0.028892,           0.0020225,             0.78818,             0.64239,             0.69365,             0.38373,            0.036587,            0.024618,           0.0035379,            0.003268,            0.003268,            0.003268
                 104,            0.034151,            0.028753,            0.002093,             0.79128,             0.63697,             0.69504,             0.38104,            0.036635,            0.024621,           0.0035846,            0.003202,            0.003202,            0.003202
                 105,            0.034163,            0.028338,           0.0020588,             0.80036,             0.62608,             0.69347,             0.38115,            0.036571,            0.024625,           0.0035515,            0.003136,            0.003136,            0.003136
                 106,            0.034039,            0.028572,           0.0019434,             0.76357,             0.64283,             0.69324,              0.3839,            0.036551,            0.024563,           0.0035434,             0.00307,             0.00307,             0.00307
                 107,            0.034246,            0.028275,           0.0019941,             0.78665,             0.62911,             0.68971,             0.38407,             0.03656,            0.024576,           0.0036079,            0.003004,            0.003004,            0.003004
                 108,            0.033853,            0.028256,           0.0021008,              0.7821,             0.63783,             0.69051,             0.38496,             0.03661,            0.024593,           0.0035718,            0.002938,            0.002938,            0.002938
                 109,            0.033847,            0.028096,           0.0019905,             0.77374,             0.63937,             0.68964,             0.38428,            0.036643,            0.024648,           0.0035395,            0.002872,            0.002872,            0.002872
                 110,             0.03394,            0.027957,           0.0020661,             0.77793,             0.64051,             0.69008,             0.38336,            0.036594,            0.024657,           0.0035906,            0.002806,            0.002806,            0.002806
                 111,            0.033987,            0.028439,           0.0020241,             0.76548,             0.64835,             0.69252,             0.38454,            0.036551,            0.024594,           0.0035888,             0.00274,             0.00274,             0.00274
                 112,            0.033757,            0.027938,           0.0019156,             0.79126,             0.63407,             0.69306,             0.38627,            0.036508,            0.024619,           0.0035791,            0.002674,            0.002674,            0.002674
                 113,             0.03379,            0.028235,           0.0019734,             0.77888,             0.64395,             0.69452,             0.38594,             0.03655,            0.024643,           0.0035683,            0.002608,            0.002608,            0.002608
                 114,            0.033523,            0.027787,           0.0018786,             0.75374,              0.6528,             0.69152,             0.38386,            0.036594,            0.024709,           0.0036506,            0.002542,            0.002542,            0.002542
                 115,            0.033628,            0.028165,           0.0018894,             0.77034,             0.64549,             0.69376,              0.3849,            0.036595,            0.024688,           0.0037031,            0.002476,            0.002476,            0.002476
                 116,            0.033468,            0.028048,           0.0019557,             0.76992,             0.64686,             0.69198,             0.38483,            0.036578,            0.024644,           0.0037441,             0.00241,             0.00241,             0.00241
                 117,            0.033514,            0.028053,            0.001941,             0.76447,             0.65015,             0.69393,             0.38563,            0.036599,            0.024663,            0.003746,            0.002344,            0.002344,            0.002344
                 118,            0.033451,            0.027415,           0.0019085,             0.77346,             0.64651,             0.69456,             0.38569,            0.036581,            0.024708,           0.0037335,            0.002278,            0.002278,            0.002278
                 119,            0.033387,            0.027531,           0.0018847,             0.77405,             0.64612,             0.69298,             0.38593,            0.036571,            0.024737,           0.0037397,            0.002212,            0.002212,            0.002212
                 120,            0.033333,            0.027299,           0.0019617,             0.78591,             0.63613,             0.69302,             0.38577,            0.036567,            0.024795,           0.0037478,            0.002146,            0.002146,            0.002146
                 121,            0.033424,             0.02799,           0.0017516,               0.789,             0.64512,             0.69567,             0.38804,            0.036534,            0.024798,           0.0037262,             0.00208,             0.00208,             0.00208
                 122,            0.033157,            0.027122,           0.0018343,              0.7722,             0.65661,             0.69708,             0.38855,            0.036514,            0.024829,           0.0037325,            0.002014,            0.002014,            0.002014
                 123,            0.033033,            0.027477,           0.0018029,             0.78629,             0.64735,             0.69362,             0.38883,            0.036514,             0.02485,           0.0037663,            0.001948,            0.001948,            0.001948
